timestamp,close,high,low,trade_count,open,volume,vwap
2023-08-16 14:35:00+00:00,489.85,489.85,489.5,68,489.56,2795,489.66809
2023-08-16 14:36:00+00:00,490.06,490.24,489.75,58,489.92,2201,489.999325
2023-08-16 14:37:00+00:00,489.87,489.87,489.69,57,489.76,2043,489.7943
2023-08-16 14:38:00+00:00,490.04,490.04,489.94,24,489.94,475,489.986149
2023-08-16 14:39:00+00:00,490.36,490.36,489.96,44,490.125,1699,490.138057
2023-08-16 14:40:00+00:00,490.49,490.49,490.21,49,490.28,1945,490.39931
2023-08-16 14:41:00+00:00,490.46,490.47,490.325,47,490.325,1846,490.441634
2023-08-16 14:42:00+00:00,490.38,490.44,490.38,28,490.44,472,490.458925
2023-08-16 14:43:00+00:00,490.97,491.08,490.68,52,490.74,1565,490.912422
2023-08-16 14:44:00+00:00,491.06,491.065,490.86,39,491.065,813,491.006568
2023-08-16 14:45:00+00:00,490.53,490.945,490.33,50,490.945,1817,490.591725
2023-08-16 14:46:00+00:00,490.28,490.54,490.28,44,490.4,1164,490.43867
2023-08-16 14:47:00+00:00,490.09,490.37,489.93,57,490.2,1604,490.182914
2023-08-16 14:48:00+00:00,489.45,489.91,489.45,61,489.85,1136,489.70929
2023-08-16 14:49:00+00:00,489.5,489.66,489.44,39,489.44,939,489.563705
2023-08-16 14:50:00+00:00,489.58,489.78,489.55,61,489.72,1551,489.636302
2023-08-16 14:51:00+00:00,490.05,490.05,489.91,37,489.91,968,489.978371
2023-08-16 14:52:00+00:00,490.28,490.42,490.1,45,490.42,1254,490.278962
2023-08-16 14:53:00+00:00,490.2,490.2,490.2,30,490.2,488,490.323685
2023-08-16 14:55:00+00:00,490.14,490.47,490.03,49,490.47,1293,490.219768
2023-08-16 14:56:00+00:00,490.1,490.25,490.1,29,490.25,560,490.170125
2023-08-16 14:57:00+00:00,490.33,490.33,490.02,27,490.11,830,490.126211
2023-08-16 14:58:00+00:00,490.5,490.61,490.26,27,490.26,1210,490.48016
2023-08-16 14:59:00+00:00,490.63,490.81,490.51,50,490.51,2386,490.660689
2023-08-16 15:00:00+00:00,490.77,490.83,490.52,39,490.59,1716,490.648536
2023-08-16 15:01:00+00:00,490.42,490.75,490.42,51,490.75,1348,490.631648
2023-08-16 15:02:00+00:00,490.69,490.69,490.145,46,490.3,1877,490.467501
2023-08-16 15:03:00+00:00,490.68,490.895,490.56,42,490.69,1955,490.713381
2023-08-16 15:04:00+00:00,490.82,490.82,490.58,27,490.58,1082,490.727264
2023-08-16 15:05:00+00:00,491.0,491.21,491.0,46,491.21,1700,491.077441
2023-08-16 15:06:00+00:00,490.585,491.06,490.585,54,491.06,874,490.860383
2023-08-16 15:07:00+00:00,490.51,490.51,490.3798,36,490.3798,603,490.492728
2023-08-16 15:08:00+00:00,490.63,490.63,490.56,35,490.56,901,490.594208
2023-08-16 15:09:00+00:00,490.72,490.93,490.52,45,490.52,1166,490.757043
2023-08-16 15:10:00+00:00,490.44,490.44,490.44,43,490.44,462,490.538468
2023-08-16 15:11:00+00:00,490.69,490.69,490.45,40,490.45,748,490.582639
2023-08-16 15:12:00+00:00,490.31,490.47,490.31,57,490.43,1621,490.422821
2023-08-16 15:13:00+00:00,489.91,490.04,489.91,42,490.04,606,489.971516
2023-08-16 15:14:00+00:00,490.14,490.14,489.83,29,489.87,748,489.930974
2023-08-16 15:15:00+00:00,490.43,490.51,490.21,44,490.21,1303,490.288788
2023-08-16 15:16:00+00:00,490.48,490.53,490.355,29,490.355,924,490.466402
2023-08-16 15:17:00+00:00,490.0,490.22,490.0,41,490.22,1378,490.080278
